Atom Nr.1

Distance label: 113 		 Original label: 118
Distance label: 114 		 Original label: 119
Distance label: 115 		 Original label: 120
Distance label: 116 		 Original label: 121
Distance label: 117 		 Original label: 122
Distance label: 118 		 Original label: 123
Distance label: 119 		 Original label: 124
Distance label: 120 		 Original label: 125
Distance label: 121 		 Original label: 126
Distance label: 122 		 Original label: 127
Distance label: 123 		 Original label: 128
Distance label: 124 		 Original label: 129
Distance label: 125 		 Original label: 130
Distance label: 126 		 Original label: 131
Distance label: 127 		 Original label: 132
Distance label: 128 		 Original label: 133
Distance label: 129 		 Original label: 134
Distance label: 130 		 Original label: 135
Distance label: 131 		 Original label: 136
Distance label: 132 		 Original label: 137
Distance label: 133 		 Original label: 139
Distance label: 134 		 Original label: 140
Distance label: 135 		 Original label: 141
Distance label: 136 		 Original label: 142
Distance label: 137 		 Original label: 145
Distance label: 138 		 Original label: 146
Distance label: 139 		 Original label: 147
Distance label: 140 		 Original label: 148
Distance label: 141 		 Original label: 149
Distance label: 142 		 Original label: 150
Distance label: 143 		 Original label: 151
Distance label: 144 		 Original label: 152
Distance label: 145 		 Original label: 153
Distance label: 146 		 Original label: 154
Distance label: 147 		 Original label: 155
Distance label: 148 		 Original label: 156
Distance label: 149 		 Original label: 157
Distance label: 150 		 Original label: 158
Distance label: 151 		 Original label: 159
Distance label: 152 		 Original label: 160
Distance label: 153 		 Original label: 161
Distance label: 154 		 Original label: 162
Distance label: 155 		 Original label: 163
Distance label: 156 		 Original label: 164
Distance label: 157 		 Original label: 165
Distance label: 158 		 Original label: 166
Distance label: 159 		 Original label: 167
Distance label: 160 		 Original label: 168
Distance label: 161 		 Original label: 169
Distance label: 162 		 Original label: 170
Distance label: 163 		 Original label: 171
Distance label: 164 		 Original label: 172
Distance label: 165 		 Original label: 173
Distance label: 166 		 Original label: 175
Distance label: 167 		 Original label: 176
Distance label: 168 		 Original label: 177
Distance label: 169 		 Original label: 181
Distance label: 170 		 Original label: 182
Distance label: 171 		 Original label: 183
Distance label: 172 		 Original label: 184
Distance label: 173 		 Original label: 185
Distance label: 174 		 Original label: 186
Distance label: 175 		 Original label: 187
Distance label: 176 		 Original label: 188
Distance label: 177 		 Original label: 189
Distance label: 178 		 Original label: 190
Distance label: 179 		 Original label: 191
Distance label: 180 		 Original label: 192
Distance label: 181 		 Original label: 193
Distance label: 182 		 Original label: 194
Distance label: 183 		 Original label: 195
Distance label: 184 		 Original label: 196
Distance label: 185 		 Original label: 197
Distance label: 186 		 Original label: 199
Distance label: 187 		 Original label: 200
Distance label: 188 		 Original label: 201
Distance label: 189 		 Original label: 202
Distance label: 190 		 Original label: 203
Distance label: 191 		 Original label: 205
Distance label: 192 		 Original label: 206
Distance label: 193 		 Original label: 207
Distance label: 194 		 Original label: 208
Distance label: 195 		 Original label: 211
Distance label: 196 		 Original label: 212
Distance label: 197 		 Original label: 217
Distance label: 198 		 Original label: 218
Distance label: 199 		 Original label: 219
Distance label: 200 		 Original label: 220
Distance label: 201 		 Original label: 221
Distance label: 202 		 Original label: 222
Distance label: 203 		 Original label: 223
Distance label: 204 		 Original label: 224
Distance label: 205 		 Original label: 225
Distance label: 206 		 Original label: 226
Distance label: 207 		 Original label: 227
Distance label: 208 		 Original label: 229
Distance label: 209 		 Original label: 230
Distance label: 210 		 Original label: 231
Distance label: 211 		 Original label: 232
Distance label: 212 		 Original label: 233
Distance label: 213 		 Original label: 235
Distance label: 214 		 Original label: 236
Distance label: 215 		 Original label: 237
Distance label: 216 		 Original label: 238
Distance label: 217 		 Original label: 242
Distance label: 218 		 Original label: 253
Distance label: 219 		 Original label: 254
Distance label: 220 		 Original label: 255
Distance label: 221 		 Original label: 256
Distance label: 222 		 Original label: 259
Distance label: 223 		 Original label: 260
Distance label: 224 		 Original label: 261
Distance label: 225 		 Original label: 262
Distance label: 226 		 Original label: 265
Distance label: 227 		 Original label: 266
Distance label: 228 		 Original label: 267
Distance label: 229 		 Original label: 268
Distance label: 230 		 Original label: 271
Distance label: 231 		 Original label: 272
Distance label: 232 		 Original label: 273
Distance label: 233 		 Original label: 289
Distance label: 234 		 Original label: 290
Distance label: 235 		 Original label: 291
Distance label: 236 		 Original label: 296

Atom Nr.3

Distance label: 1 		 Original label: 1
Distance label: 2 		 Original label: 2
Distance label: 3 		 Original label: 4
Distance label: 4 		 Original label: 5
Distance label: 5 		 Original label: 6
Distance label: 6 		 Original label: 7
Distance label: 7 		 Original label: 8
Distance label: 8 		 Original label: 9
Distance label: 9 		 Original label: 10
Distance label: 10 		 Original label: 11
Distance label: 11 		 Original label: 12
Distance label: 12 		 Original label: 13
Distance label: 13 		 Original label: 14
Distance label: 14 		 Original label: 15
Distance label: 15 		 Original label: 16
